x,y,z
3,1,17
4,1,17
4,0,17
5,0,17
5,0,16
5,6,16
1,6,5
1,5,5
1,5,4
0,5,4
6,5,4
5,5,4
4,5,4
4,5,5
4,5,6
4,5,7
4,5,8
5,5,8
5,5,7
5,6,7
5,0,7
5,1,7
4,1,7
4,0,7
4,6,7
4,6,8
5,3,19
5,4,19
5,4,18
5,3,18
4,3,18
4,4,18
4,4,17
4,5,17
4,6,17
4,6,16
4,0,16
3,0,16
3,6,16
3,5,16
4,5,16
4,4,16
5,4,16
5,4,17
5,3,17
6,3,17
3,5,7
3,4,7
3,4,6
2,4,6
2,4,7
1,4,7
1,5,7
0,5,7
0,4,7
6,4,7
6,4,6
6,5,6
0,5,6
1,5,6
1,4,6
1,4,5
1,4,4
2,4,4
3,4,4
3,3,4
0,0,8
1,0,8
1,1,8
2,1,8
2,2,8
2,2,7
1,2,7
1,2,8
1,3,8
1,3,9
0,3,9
0,3,10
0,4,10
0,4,11
6,4,11
5,4,11
4,4,11
4,3,11
5,3,11
5,3,12
0,0,19
6,0,19
6,6,19
6,6,18
6,5,18
6,5,19
0,5,19
0,4,19
0,4,18
0,4,17
0,5,17
1,5,17
1,4,17
2,4,17
2,3,17
1,3,17
1,3,18
1,4,18
2,4,18
3,4,18
1,5,12
2,5,12
3,5,12
3,5,13
3,5,14
3,4,14
3,4,15
3,4,16
2,4,16
1,4,16
0,4,16
0,3,16
0,3,15
6,3,15
6,3,14
5,3,14
4,3,14
3,3,14
3,2,14
3,2,15
5,1,3
4,1,3
3,1,3
3,1,2
2,1,2
2,0,2
2,6,2
2,5,2
1,5,2
1,4,2
2,4,2
2,3,2
1,3,2
1,2,2
2,2,2
3,2,2
3,3,2
3,3,3
3,4,3
2,4,3
5,5,11
4,5,11
3,5,11
2,5,11
2,4,11
2,4,12
3,4,12
3,4,11
3,3,11
3,2,11
3,2,10
2,2,10
1,2,10
0,2,10
6,2,10
6,2,9
0,2,9
0,1,9
0,1,10
0,0,10
3,2,0
3,1,0
2,1,0
1,1,0
1,2,0
2,2,0
2,3,0
3,3,0
3,3,1
3,4,1
3,4,2
4,4,2
5,4,2
5,4,1
4,4,1
4,3,1
4,3,2
5,3,2
5,2,2
5,2,1
0,2,19
0,3,19
6,3,19
6,2,19
5,2,19
4,2,19
3,2,19
3,2,18
3,3,18
2,3,18
2,2,18
2,2,17
3,2,17
4,2,17
4,2,16
3,2,16
2,2,16
2,1,16
2,1,17
1,1,17
5,0,8
5,1,8
5,2,8
5,3,8
5,4,8
5,4,9
6,4,9
6,3,9
5,3,9
5,3,10
5,4,10
5,5,10
5,5,9
4,5,9
3,5,9
3,5,10
4,5,10
4,4,10
4,3,10
3,3,10
1,4,12
1,4,11
1,4,10
1,4,9
1,4,8
0,4,8
0,4,9
0,5,9
0,5,8
6,5,8
6,5,7
6,6,7
6,0,7
6,1,7
6,1,6
0,1,6
0,1,7
0,0,7
0,0,6
0,6,6
4,2,18
5,2,18
5,2,17
6,2,17
6,2,16
5,2,16
5,2,15
4,2,15
4,1,15
4,1,14
5,1,14
5,2,14
6,2,14
6,2,13
0,2,13
1,2,13
1,2,14
0,2,14
0,1,14
1,1,14
0,4,6
0,3,6
0,2,6
6,2,6
6,2,7
0,2,7
0,2,8
0,1,8
6,1,8
6,2,8
6,3,8
6,3,7
6,3,6
6,3,5
6,4,5
5,4,5
5,5,5
5,5,6
5,6,6
6,6,6
0,4,4
0,4,5
0,3,5
0,2,5
1,2,5
1,2,6
1,1,6
2,1,6
2,2,6
2,3,6
1,3,6
1,3,7
2,3,7
3,3,7
3,3,8
3,2,8
3,2,7
3,2,6
3,3,6
3,3,5
6,0,15
6,0,14
6,6,14
6,6,15
5,6,15
4,6,15
4,5,15
3,5,15
3,6,15
3,6,14
4,6,14
5,6,14
5,6,13
4,6,13
3,6,13
2,6,13
2,0,13
2,1,13
3,1,13
3,1,14
